,row_ID,unit_ID,sig_ID,main_street,cross_street,route,milepoint,times,owner,type,int_ID,ATMSID,geometry
0,1,MPW017206,SIG017206,OLD HENRY,I 265 RAMP,KY-3084,1.25,24 HOURS,KYTC,1,7674756999,,POINT (-85.4993371456453 38.27063209239155)
1,2,MPW017211,SIG017211,SHELBYVILLE,BECKLEY WOODS,US-60,12.291,24 HOURS,KYTC,1,7895940672,,POINT (-85.49847895741786 38.241589472827904)
2,3,MPW017290,SIG017290,SHELBYVILLE,LAKE FOREST,US-60,12.58,24 HOURS,KYTC,1,12375940763,,POINT (-85.4935498603372 38.24051723243606)
3,4,MPW015159,SIG015159,BROWNSBORO,I 265 RAMP,KY-22,3.7,24 HOURS,KYTC,1,14390724999,,POINT (-85.57021228272409 38.31100207202721)
4,5,MPW011726,SIG011726,HERR,LIME KILN,KY-22,0.44,24 HOURS,KYTC,1,18422901386,,POINT (-85.62796526747577 38.28391602421024)
5,6,MPW011500,SIG011500,U S HIGHWAY 42,HOLIDAY MANOR,US-42,6.13,24 HOURS,KYTC,1,18706712768,,POINT (-85.63249947808397 38.283888982884235)
6,7,MPW013156,SIG013156,LYNDON,NEW LA GRANGE,KY-146,0.98,24 HOURS,KYTC,1,23532774462,,POINT (-85.60381269736305 38.25867393537541)
7,8,MPW011581,SIG011581,BRAMTON,SHELBYVILLE,US-60,4.95,24 HOURS,KYTC,1,26260646594,,POINT (-85.63001036459265 38.250822991551054)
8,9,MPW011670,SIG011670,STONEHENGE,SHELBYVILLE,US-60,5.05,24 HOURS,KYTC,1,26300055594,,POINT (-85.6281977328899 38.250692730393375)
9,10,MPW011296,SIG011296,FAIRMEADE,SHELBYVILLE,US-60,4.61,24 HOURS,KYTC,1,26462120594,,POINT (-85.63623468964947 38.25134890292861)
10,11,MPW009450,SIG009450,BON AIR,PEE WEE REESE,KY-155,15.652,24 HOURS,KYTC,1,31240595939,,POINT (-85.66845987406013 38.222882400109526)
11,12,MPW012210,SIG012210,BROWNS,LOWE,,,24 HOURS,METRO,1,31310723396,,POINT (-85.61870784656516 38.22291929413131)
12,13,MPW011654,SIG011654,TAYLORSVILLE,YORKSHIRE,KY-155,13.442,24 HOURS,KYTC,1,31876394743,,POINT (-85.62797727830862 38.219984116701276)
13,14,MPW011780,SIG011780,BROWNS,HIKES,KY-155,13.314,24 HOURS,KYTC,1,31920723293,,POINT (-85.62578535348557 38.219841070085856)
14,15,MPW009242,SIG009242,BARDSTOWN,GARDINER,US-31E,12.133,24 HOURS,KYTC,1,33810384247,,POINT (-85.67235283064295 38.212611002343564)
15,16,MPW013311,SIG013311,BROWNSBORO,BARBOUR,KY-22,1.71,24 HOURS,KYTC,1,42870724826,,POINT (-85.60212682540482 38.29542617819817)
16,17,MPW014859,SIG014859,ORMSBY STATION,HURSTBOURNE,KY-1747,14.76,24 HOURS,KYTC,1,44808974912,,POINT (-85.57458363361795 38.26295967379173)
17,18,MPW011392,SIG011392,BROWNSBORO,NORTHFIELD,US-42,5.92,24 HOURS,KYTC,1,45900724310,,POINT (-85.63472899589088 38.28135700617301)
